Institution,City,State,Zip,Instituion URL,Cost of Attendance,In-state Tuition,Out-of-State Tuition,Average Faculty Salary,Student Spending Ratio
Lincoln Memorial University,Harrogate,TN,37752-9900,www.lmunet.edu/,35342.0,22740.0,22740.0,6872.0,0.523183686128557
Martin Methodist College,Pulaski,TN,38478-2799,www.martinmethodist.edu/,39812.0,24900.0,24900.0,5682.0,0.7461253874612539
Maryville College,Maryville,TN,37804-5907,www.maryvillecollege.edu/,48503.0,35578.0,35578.0,5568.0,0.704447245228664
Meharry Medical College,Nashville,TN,37208,www.mmc.edu/,40060.66666666666,27022.666666666664,28302.666666666668,5229.0,0.610656152057426
Memphis College of Art,Memphis,TN,38104-2764,www.mca.edu,31618.33333333333,18467.33333333333,21027.333333333336,4890.0,0.5848535602734145
University of Memphis,Memphis,TN,38152,www.memphis.edu/,23176.0,9912.0,13752.0,8699.0,1.2417132216014897
Memphis Theological Seminary,Memphis,TN,38104-4395,www.memphisseminary.edu/,21988.0,9491.0,20747.0,7445.0,0.8252065345673645
Middle Tennessee State University,Murfreesboro,TN,37132,www.mtsu.edu/,20800.0,9070.0,27742.0,8503.0,1.4201796821008985
Middle Tennessee School of Anesthesia Inc,Madison,TN,37115,www.mtsa.edu/,17247.5,6707.0,22331.0,16221.0,0.1928184948352189
Motlow State Community College,Tullahoma,TN,37388,www.mscc.edu/,13695.0,4344.0,16920.0,5276.0,2.210616438356164
Lincoln College of Technology-Nashville,Nashville,TN,37206,www.lincolntech.edu/campus/nashville-tn,13594.0,4319.0,16895.0,6306.0,0.3335416666666667
Nashville State Community College,Nashville,TN,37209-4515,www.nscc.edu/,13493.0,4294.0,16870.0,6018.0,1.9129158512720157
Rhodes College,Memphis,TN,38112-1690,www.rhodes.edu/,62570.0,49198.0,49198.0,8634.0,0.8462573319700801
Roane State Community College,Harriman,TN,37748,www.roanestate.edu/,10956.0,4652.0,17758.0,6050.0,3.66421928536466
Southwest Tennessee Community College,Memphis,TN,38103,www.southwest.tn.edu/,11407.0,4352.0,16928.0,5931.0,1.7110687022900763
The University of the South,Sewanee,TN,37383-1000,www.sewanee.edu/,60950.0,46472.0,46472.0,9486.0,0.795459103854948
Pellissippi State Community College,Knoxville,TN,37933-0990,www.pstcc.edu/,12167.0,4378.0,16608.0,6665.0,2.4612261469752337
Southern Adventist University,Collegedale,TN,37315-0370,www.southern.edu/,35029.0,22520.0,22520.0,4760.0,0.7052276559865093
Southern College of Optometry,Memphis,TN,38104-2211,https://www.sco.edu/,34108.5,23835.0,23835.0,10072.0,0.781789052069426
Tennessee Wesleyan University,Athens,TN,37303,www.tnwesleyan.edu/,33188.0,25150.0,25150.0,5140.0,0.693620756925478
The University of Tennessee-Chattanooga,Chattanooga,TN,37403-2598,www.utc.edu/,22483.0,9656.0,25774.0,8619.0,1.348826364060314
The University of Tennessee-Knoxville,Knoxville,TN,37996,www.utk.edu/,31510.0,13264.0,31664.0,11270.0,1.0476624668435013
The University of Tennessee-Martin,Martin,TN,38238,www.utm.edu/,20669.0,9748.0,15788.0,7389.0,1.9776981282357626
Tennessee State University,Nashville,TN,37209-1561,www.tnstate.edu/,21684.0,9012.0,21732.0,7627.0,1.3555973659454374
Tennessee Technological University,Cookeville,TN,38505-0001,www.tntech.edu/,24181.0,8934.0,24798.0,8138.0,1.4925721916207644
Trevecca Nazarene University,Nashville,TN,37210,https://www.trevecca.edu/,37211.0,26098.0,26098.0,6786.0,0.5156274296376925
Northeast State Community College,Blountville,TN,37617-0246,www.northeaststate.edu/,12713.0,4350.0,16926.0,6072.0,2.7322981366459627
Tusculum University,Greeneville,TN,37743,www.tusculum.edu/,38471.0,24860.0,24860.0,5170.0,0.5135477919981551
Union University,Jackson,TN,38305-3697,www.uu.edu/,53086.0,33750.0,33750.0,7361.0,0.803420564599217
Vanderbilt University,Nashville,TN,37240,www.vanderbilt.edu/,70146.0,52070.0,52070.0,14442.0,1.1001039655428486
Volunteer State Community College,Gallatin,TN,37066-3188,www.volstate.edu/,13338.0,4332.0,16908.0,6450.0,2.5622605363984676
Walters State Community College,Morristown,TN,37813-6899,www.ws.edu/,10512.0,4327.0,17198.0,6104.0,2.807059767348576
William R Moore College of Technology,Memphis,TN,38104-7240,www.mooretech.edu/,17374.0,9870.0,9870.0,4254.0,1.5036496350364963
Abilene Christian University,Abilene,TX,79699,www.acu.edu/,49538.0,36300.0,36300.0,7925.0,0.5870176974548184
Alvin Community College,Alvin,TX,77511-4898,www.alvincollege.edu/,15068.0,1682.0,3938.0,6723.0,1.9024075666380051
Amarillo College,Amarillo,TX,79109,www.actx.edu/,10525.0,2136.0,4704.0,6120.0,2.9892430278884463
Amberton University,Garland,TX,75041-5595,www.amberton.edu/,11079.5,2478.0,5217.0,6206.0,0.48610871440897324
Angelina College,Lufkin,TX,75902-1768,www.angelina.edu/,11634.0,2820.0,5730.0,5794.0,2.362758620689655
Angelo State University,San Angelo,TX,76909,www.angelo.edu/,19924.0,7637.0,17765.0,7612.0,1.0644956314535345
Arlington Baptist University,Arlington,TX,76012-3425,https://abu.edu/,23431.0,14370.0,14370.0,3359.0,0.4998912807131985
The Art Institute of Houston,Houston,TX,77027-9625,www.artinstitutes.edu/houston,29352.0,19354.0,19354.0,4808.0,0.2515429614125476
Austin College,Sherman,TX,75090-4400,www.austincollege.edu/,54690.0,41155.0,41155.0,7578.0,0.9463244703540452
Austin Community College District,Austin,TX,78752,www.austincc.edu/,11981.0,2550.0,13020.0,7818.0,2.886002886002886
Austin Presbyterian Theological Seminary,Austin,TX,78705-5711,https://www.austinseminary.edu/,22167.4,4000.0,10980.0,7922.0,12.58608695652174
Baptist Health System School of Health Professions,San Antonio,TX,78229,www.bshp.edu/,32353.8,5450.0,8940.0,7110.0,0.9154096869552035
Baptist Missionary Association Theological Seminary,Jacksonville,TX,75766-5407,www.bmats.edu/,42540.2,6900.0,6900.0,3808.0,0.8149334232260239
Baylor College of Medicine,Houston,TX,77030-3498,www.bcm.edu/,52726.6,27132.0,27132.0,11721.0,6.755830128467392
Baylor University,Waco,TX,76798,www.baylor.edu/,62913.0,47364.0,47364.0,10218.0,0.7216884290055022
Coastal Bend College,Beeville,TX,78102,www.coastalbend.edu/,10778.0,2633.0,4943.0,5393.0,2.185617103984451
Blinn College,Brenham,TX,77833-4098,www.blinn.edu/,18767.0,2928.0,8136.0,5854.0,0.9189258972372838
Remington College-Dallas Campus,Garland,TX,75041,www.remingtoncollege.edu/dallas-texas-career-schools-overview,25169.0,15633.0,15633.0,3715.0,0.42212980190434496
Vet Tech Institute of Houston,Houston,TX,77027,vti.edu/,19844.0,14900.0,14900.0,4679.0,0.36092062741388825
Brazosport College,Lake Jackson,TX,77566,www.brazosport.edu/,10428.0,2397.0,4727.0,7047.0,2.682333425490738
Brookhaven College,Farmers Branch,TX,75244-4997,www.brookhavencollege.edu/,10209.0,1770.0,5220.0,7753.0,2.530949839914621
Cedar Valley College,Lancaster,TX,75134-3799,www.cedarvalleycollege.edu,12058.0,1770.0,5220.0,7634.0,3.7896494156928213
Central Texas College,Killeen,TX,76549-4199,www.ctcd.edu/,10163.0,2700.0,7050.0,5760.0,0.9345001325908248
Cisco College,Cisco,TX,76437,https://www.cisco.edu/,14931.0,3810.0,4800.0,4367.0,1.5963912630579298
Clarendon College,Clarendon,TX,79226,www.clarendoncollege.edu/,13114.0,3390.0,5010.0,4338.0,1.7848360655737705
Concordia University Texas,Austin,TX,78726,www.concordia.edu/,45435.0,32860.0,32860.0,7218.0,0.3292611300364149
North Central Texas College,Gainesville,TX,76240-4699,www.nctc.edu/,9898.0,2400.0,7080.0,6041.0,1.2294498381877024
Texas A & M University-Corpus Christi,Corpus Christi,TX,78412-5503,www.tamucc.edu/,21541.0,9272.0,20101.0,8094.0,0.9798165137614679
Dallas Baptist University,Dallas,TX,75211-9299,https://www.dbu.edu/,40917.0,30320.0,30320.0,8497.0,0.5263966110669844
Dallas Christian College,Dallas,TX,75234-7299,www.dallas.edu/,32042.0,19086.0,19086.0,4619.0,0.4663888141973649
Dallas Institute of Funeral Service,Dallas,TX,75227-4314,https://www.dallasinstitute.edu/,19280.0,11870.0,11870.0,3583.0,0.31391327480712955
Dallas Theological Seminary,Dallas,TX,75204,www.dts.edu/,37556.5,27275.0,27275.0,8131.0,0.7930154820548909
University of Dallas,Irving,TX,75062-4736,www.udallas.edu/,55833.0,42680.0,42680.0,7981.0,0.6293728332808068
Del Mar College,Corpus Christi,TX,78404-3897,www.delmar.edu/,11336.0,2868.0,5441.0,7351.0,3.696932006633499
East Texas Baptist University,Marshall,TX,75670-1498,https://www.etbu.edu/,38223.0,27210.0,27210.0,6954.0,0.5405535499398315
Texas A&M University-Texarkana,Texarkana,TX,75503,www.tamut.edu/,18292.0,7536.0,20025.0,8096.0,1.7631201148508535
Texas A & M University-Commerce,Commerce,TX,75428-3011,www.tamuc.edu/,22432.0,8958.0,21628.0,8114.0,1.010032499646743
Eastfield College,Mesquite,TX,75150-2099,www.eastfieldcollege.edu/,10715.0,1770.0,5220.0,7796.0,3.396085740913327
Dallas College,Dallas,TX,75215-3604,www.dcccd.edu/pages/default.aspx,10126.0,1770.0,5220.0,7476.0,4.969775474956822
El Paso Community College,El Paso,TX,79925-6507,www.epcc.edu/,11479.0,3010.0,4858.0,6157.0,2.9855272226051
Western Technical College,El Paso,TX,79924,www.westerntech.edu/,16022.75,7096.0,8482.0,4096.0,0.47993905535804976
Western Technical College,El Paso,TX,79927,www.westerntech.edu/,20566.5,11182.0,12106.0,3828.0,0.3783482142857143
Episcopal Theological Seminary of the Southwest,Austin,TX,78705,ssw.edu/,25110.25,15268.0,15730.0,7067.0,5.099980434357269
Miami International University of Art & Design-Art Institute Dallas,Dallas,TX,75231-5993,www.artinstitutes.edu/dallas/,29654.0,19354.0,19354.0,5870.0,0.2783270384359031
Frank Phillips College,Borger,TX,79008-5118,www.fpctx.edu/,12776.0,3308.0,4388.0,4444.0,4.216129032258064
Galveston College,Galveston,TX,77550-7496,www.gc.edu/,9592.0,2050.0,4600.0,6614.0,3.370189701897019
Grayson College,Denison,TX,75020-8299,grayson.edu/,14632.0,2642.0,5162.0,6000.0,3.9865339578454333
Hallmark University,San Antonio,TX,78230-1736,https://www.hallmarkuniversity.edu/,27396.0,16391.0,17651.0,4993.0,0.27809788267962515
Hardin-Simmons University,Abilene,TX,79698-0001,https://www.hsutx.edu/,40160.0,30140.0,30140.0,7227.0,1.0572134749176125
Trinity Valley Community College,Athens,TX,75751,www.tvcc.edu/,12964.0,2640.0,5970.0,6063.0,2.459194214876033
Hill College,Hillsboro,TX,76645,https://www.hillcollege.edu/,13212.0,2382.0,3382.0,5319.0,2.5106382978723403
Houston Baptist University,Houston,TX,77074-3298,https://www.hbu.edu/,42640.0,33450.0,33450.0,7519.0,0.5712179984484096
University of Houston-Clear Lake,Houston,TX,77058-1002,www.uhcl.edu/,22127.0,7310.0,20746.0,9130.0,0.8669542136695422
Houston Community College,Houston,TX,77002,www.hccs.edu/,10111.0,1848.0,5268.0,7473.0,2.380952380952381
University of Houston-Downtown,Houston,TX,77002-1014,www.uhd.edu/,16863.0,6788.0,16916.0,8435.0,0.833634719710669
University of Houston-Victoria,Victoria,TX,77901,www.uhv.edu/,19031.0,6781.0,16909.0,8695.0,1.0581124381007865
University of Houston,Houston,TX,77204-2018,www.uh.edu/,22721.0,9221.0,21749.0,12273.0,0.7929098966026588
Howard College,Big Spring,TX,79720,https://www.howardcollege.edu/,11334.0,2560.0,5420.0,4526.0,3.0821283979178715
Howard Payne University,Brownwood,TX,76801-2794,www.hputx.edu/,39973.0,29198.0,29198.0,5767.0,0.7820192380519579
Huston-Tillotson University,Austin,TX,78702-2795,www.htu.edu/,23949.0,14346.0,14346.0,6145.0,0.34847310494496975
University of the Incarnate Word,San Antonio,TX,78209,www.uiw.edu/,44099.0,32576.0,32576.0,8447.0,0.5194417811867477
Jacksonville College-Main Campus,Jacksonville,TX,75766-4759,www.jacksonville-college.edu/,15699.0,8000.0,8000.0,3642.0,0.20051221854657988
Jarvis Christian College,Hawkins,TX,75765-1470,www.jarvis.edu/,25223.0,11720.0,11720.0,7398.0,0.48185953622545213
KD Conservatory College of Film and Dramatic Arts,Dallas,TX,75207,www.kdstudio.com/,25441.0,17526.0,17526.0,6358.5,0.2452504317789292
Kilgore College,Kilgore,TX,75662-3299,https://www.kilgore.edu/,13685.0,2064.0,5160.0,5319.0,2.1577393504850275
Lamar University,Beaumont,TX,77705,www.lamar.edu/,20448.0,8494.0,18622.0,8381.0,0.8412260313771064
Lamar State College-Orange,Orange,TX,77630,www.lsco.edu/,8796.0,3192.0,13320.0,5430.0,1.6527815839956153
Lamar State College-Port Arthur,Port Arthur,TX,77640,www.lamarpa.edu/,13813.0,4331.0,16991.0,4838.0,1.6132334125388412
Laredo College,Laredo,TX,78040-4395,www.laredo.edu/,10176.0,3300.0,5748.0,6965.0,5.402200488997555
Texas A & M International University,Laredo,TX,78041-1900,www.tamiu.edu/,13238.0,7348.0,18666.0,8494.0,1.4246609743847314
Lee College,Baytown,TX,77520,www.lee.edu/,12144.0,2166.0,4302.0,7098.0,2.5069544364508394
LeTourneau University,Longview,TX,75602,www.letu.edu/,43406.0,31270.0,31270.0,6420.0,0.6327781479013991
Lincoln College of Technology-Grand Prairie,Grand Prairie,TX,75052,www.lincolntech.edu/campus/grand-prairie-tx,39214.5,27300.0,27300.0,4301.0,0.4025505495427469
Lubbock Christian University,Lubbock,TX,79407-2099,https://www.lcu.edu/,35023.0,23330.0,23330.0,6533.0,0.6510220069795598
College of the Mainland,Texas City,TX,77591-2499,www.com.edu/,7871.0,1773.0,3873.0,6536.0,2.414368650217707
University of Mary Hardin-Baylor,Belton,TX,76513-2599,https://go.umhb.edu/,41426.0,29700.0,29700.0,7949.0,0.49801182707993474
McLennan Community College,Waco,TX,76708,www.mclennan.edu/,13142.0,3450.0,3990.0,7504.0,2.4522408329560887
McMurry University,Abilene,TX,79697,https://ww2.mcm.edu/,40851.0,28099.0,28099.0,6627.0,0.6453755387550343
Midland College,Midland,TX,79705,www.midland.edu/,11458.0,2670.0,5550.0,6272.0,2.5593285005723008
Midwestern State University,Wichita Falls,TX,76308-2099,www.msutexas.edu/,19481.0,9601.0,11551.0,7969.0,1.3869412795793163
Wade College,Dallas,TX,75207,https://www.wadecollege.edu/,20572.0,14515.0,14515.0,3305.0,0.3349182419111678
Southern Careers Institute-Austin,Austin,TX,78744,www.scitexas.edu/,15186.5,8142.5,9867.5,3045.0,0.11520412951665884
Mountain View College,Dallas,TX,75211-6599,www.mountainviewcollege.edu,9801.0,1770.0,5220.0,7931.0,3.284853700516351
Navarro College,Corsicana,TX,75110,www.navarrocollege.edu/,16629.0,2742.0,6222.0,6344.0,1.3821073558648111
Lone Star College System,The Woodlands,TX,77381-4399,www.lonestar.edu/,13345.0,1724.0,5564.0,7187.0,2.3228486646884274
North Lake College,Irving,TX,75038-3899,www.northlakecollege.edu,11294.0,1770.0,5220.0,7790.0,2.8206551915602445
University of North Texas,Denton,TX,76203-1277,www.unt.edu/,23462.0,11044.0,21172.0,10151.0,0.6761133603238867
Northeast Texas Community College,Mount Pleasant,TX,75455,www.ntcc.edu/,13545.0,2969.0,6269.0,6208.0,2.9969719909159727
Oblate School of Theology,San Antonio,TX,78216-6693,www.ost.edu/,12973.5,2576.5,5285.5,4850.0,1.9523886508770512
Odessa College,Odessa,TX,79764,www.odessa.edu/,12402.0,2184.0,4302.0,6546.0,2.224176646706587
Our Lady of the Lake University,San Antonio,TX,78207-4689,https://www.ollusa.edu/,39529.0,29218.0,29218.0,7064.0,0.6401708511303261
The University of Texas Rio Grande Valley,Edinburg,TX,78539-2999,www.utrgv.edu/,13989.0,8132.0,18260.0,6354.0,1.7596861206473762
Texas Southmost College,Brownsville,TX,78520,www.tsc.edu/,10250.0,3148.0,4948.0,5682.0,0.9771251931993817
Panola College,Carthage,TX,75633-2397,www.panola.edu/,13312.0,2016.0,4368.0,6079.0,2.1132879045996593
Paris Junior College,Paris,TX,75460,www.parisjc.edu/,13054.0,2430.0,5430.0,6254.0,1.4554826616682286
Paul Quinn College,Dallas,TX,75241,www.pqc.edu/,19027.0,9125.0,9125.0,5183.0,0.4088985942404804
Prairie View A & M University,Prairie View,TX,77446,www.pvamu.edu/,24668.0,10786.0,25654.0,8102.0,1.5358498102656282
Ranger College,Ranger,TX,76470,www.rangercollege.edu/,11511.0,3065.0,6215.0,3576.0,1.5536072144288577
